timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1732785796732,0.879864,-0.332328,-0.44164,22.4,17.15,-1.68,Noise,Unknown
1732785796733,0.881328,-0.281576,-0.428464,14.07,17.01,-2.59,Noise,Unknown
1732785796733,0.853512,-0.240096,-0.391864,12.04,18.2,-3.01,Noise,Unknown
1732785796733,0.860832,-0.18056,-0.355264,24.99,20.3,-2.03,Noise,Unknown
1732785796791,0.862296,-0.198128,-0.362096,34.58,23.38,-0.84,Noise,Unknown
1732785796791,0.821792,-0.274256,-0.440176,26.04,29.68,3.01,Noise,Unknown
1732785796793,0.785192,-0.171288,-0.443592,11.62,38.99,8.05,Noise,Unknown
1732785796841,0.84912,-0.137128,-0.284992,10.22,40.39,13.3,Noise,Unknown
1732785796843,0.631472,-0.316712,-0.162992,19.81,28.21,11.62,Noise,Unknown
1732785796843,0.594872,-0.397232,-0.08296,15.33,29.61,5.32,Noise,Unknown
1732785796915,0.979416,-0.426024,-0.155184,5.95,31.92,-0.14,Noise,Right
1732785796921,7.367824,-0.255712,1.845616,-7.21,21.21,-5.81,Noise,Right
1732785796931,0.879864,-0.11956,-0.333304,-46.27,-5.74,-13.02,Noise,Right
1732785796939,0.931592,-0.088816,-0.290848,-14.84,-0.56,-5.04,Noise,Right
1732785796940,0.91256,-0.272792,-0.357216,10.36,4.83,0.91,Noise,Right
1732785796940,0.919392,-0.366488,-0.37088,13.51,5.95,-0.21,Noise,Right
1732785797012,0.925736,-0.355752,-0.382104,13.79,5.88,-2.94,Noise,Right
1732785797012,0.913048,-0.331352,-0.393328,13.86,3.85,-2.24,Noise,Right
1732785797013,0.979904,-0.367464,-0.365512,14.56,-0.98,0.91,Noise,Right
1732785797013,0.999912,-0.422608,-0.346968,11.41,-5.11,-3.5,Noise,Right
1732785797058,0.92964,-0.30988,-0.235216,-5.18,1.61,-16.66,Noise,Right
1732785797059,1.25904,-0.316712,-0.309392,-6.3,14.21,-32.76,Noise,Right
1732785797059,1.491328,-0.320616,-0.310368,-26.39,-10.71,-53.2,Noise,Right
1732785797112,1.347856,-0.270352,-0.384056,-8.4,-74.97,-29.26,Noise,Right
1732785797112,1.067744,-0.203496,-0.355752,-7.42,-80.22,-29.47,Noise,Right
1732785797113,0.886696,-0.248392,-0.415776,12.39,-82.95,-1.54,Noise,Right
1732785797218,0.633912,-0.292312,-0.449448,0.07,-63.7,22.96,Noise,Right
1732785797219,0.488488,-0.269864,-0.404552,-10.15,-51.31,56.84,Noise,Right
1732785797219,0.506056,-0.32696,-0.410896,-28.98,-47.6,68.74,Noise,Right
1732785797220,0.48556,-0.364048,-0.468968,-92.75,-33.81,18.06,Noise,Right
1732785797220,0.420168,-0.348432,-0.488488,-186.48,-15.05,-40.04,Noise,Right
1732785797220,0.522648,0.03416,-0.182024,-353.71,22.89,-78.89,Noise,Right
1732785797321,0.564128,0.32452,-0.123464,-296.52,67.48,-79.1,Noise,Right
1732785797321,0.696376,0.161528,-0.29768,-181.23,79.1,-33.81,Noise,Right
1732785797321,0.894992,-0.00732,-0.294752,-108.92,65.24,17.08,Noise,Right
1732785797322,1.060912,-0.077104,-0.30012,-53.9,28.07,53.69,Noise,Right
1732785797323,1.090192,-0.233264,-0.287432,8.05,-6.93,76.09,Noise,Right
1732785797324,1.073112,-0.194224,-0.377224,46.9,-39.27,69.02,Noise,Right
1732785797371,0.957944,-0.179584,-0.327936,48.86,-39.97,56.77,Noise,Right
1732785797371,0.879376,-0.176656,-0.467992,24.99,4.97,22.54,Noise,Right
1732785797371,0.848632,-0.203984,-0.45872,-20.16,89.53,-25.06,Noise,Right
1732785797418,1.40544,-0.000976,-0.213744,-82.18,92.68,-40.95,Noise,Right
1732785797419,1.05164,-0.119072,-0.539728,-34.93,38.01,-8.05,Noise,Right
1732785797419,1.026264,-0.15372,-0.242536,-62.65,51.66,-2.03,Noise,Right
1732785797476,0.972584,-0.194224,-0.301096,-0.91,-12.32,13.51,Noise,Right
1732785797483,0.934032,-0.10492,-0.263032,22.54,-4.69,10.92,Noise,Right
1732785797484,1.092144,-0.198128,-0.365024,30.03,1.82,7.56,Noise,Right
1732785797528,1.021384,-0.20984,-0.35624,10.85,6.65,-1.61,Noise,Right
1732785797528,0.984296,-0.201544,-0.341112,-3.5,6.72,-7.7,Noise,Right
1732785797528,1.069696,-0.160552,-0.321104,-17.43,8.68,-19.46,Noise,Right
1732785797573,1.148752,-0.16592,-0.307928,-40.11,-2.38,-20.79,Noise,Right
1732785797574,0.985272,-0.093696,-0.263032,-36.12,-34.3,-9.87,Noise,Right
1732785797574,0.7808,-0.060024,-0.348432,1.33,-55.09,7.0,Noise,Right
1732785797621,0.708088,-0.069784,-0.378688,10.71,-20.3,0.84,Noise,Right
1732785797621,0.682224,-0.059536,-0.380152,-6.02,37.45,-15.19,Noise,Right
1732785797621,0.780312,-0.027816,-0.327448,-19.74,63.84,-25.41,Noise,Right
1732785797666,0.859368,-0.039528,-0.285968,-28.28,52.57,-18.06,Noise,Right
1732785797666,0.955016,-0.058072,-0.27572,-7.14,23.24,-12.53,Noise,Right
1732785797666,0.955992,-0.132248,-0.327936,0.77,-4.48,-16.94,Noise,Right
1732785797712,0.992592,-0.215208,-0.349896,0.28,-30.52,-6.79,Noise,Right
1732785797713,0.955016,-0.10004,-0.350384,-5.04,-28.56,-6.3,Noise,Right
1732785797760,0.902312,-0.06832,-0.332328,-1.68,-19.46,10.5,Noise,Right
1732785797760,0.985272,-0.04148,-0.359656,4.97,-13.02,19.6,Noise,Right
1732785797761,1.086288,-0.011224,-0.33672,3.29,-4.62,22.82,Noise,Right
1732785797810,1.008208,-0.016592,-0.321104,7.0,0.98,6.79,Noise,Right
1732785797811,0.918416,-0.086376,-0.344528,10.5,3.5,3.99,Noise,Right
1732785797811,0.912072,-0.150792,-0.392352,-3.71,5.53,3.36,Noise,Right
1732785797934,0.891576,-0.155672,-0.387472,-9.03,9.73,0.21,Noise,Right
1732785797935,0.952088,-0.09272,-0.377224,-6.72,12.18,0.35,Noise,Right
1732785797935,0.97844,-0.093696,-0.390888,0.98,15.19,0.98,Noise,Right
1732785797935,0.969168,-0.09028,-0.34892,3.57,18.48,1.05,Noise,Right
1732785797935,0.930128,-0.041968,-0.289872,3.57,18.69,4.27,Noise,Right
1732785797935,0.936472,-0.021472,-0.254736,8.05,17.64,7.49,Noise,Right
1732785797936,0.94916,-0.160064,-0.309392,10.5,16.59,8.68,Noise,Right
1732785797980,0.96136,-0.249856,-0.306952,-0.84,19.18,1.4,Noise,Right
1732785797980,0.928664,-0.288408,-0.342576,-14.56,19.6,-7.84,Noise,Right
1732785797981,0.896456,-0.192272,-0.271328,-32.34,18.27,-13.65,Noise,Right
1732785798027,0.968192,-0.040504,-0.214232,-17.78,13.51,-7.98,Noise,Right
1732785798027,1.025776,-0.000976,-0.235704,-3.08,13.44,-5.39,Noise,Right
1732785798027,1.049688,-0.0854,-0.22936,12.74,17.5,-8.68,Noise,Right
1732785798074,0.974048,-0.125416,-0.267912,9.87,18.48,-10.08,Noise,Right
1732785798076,0.94672,-0.052704,-0.244976,-0.91,16.17,-9.59,Noise,Right
1732785798083,0.914512,-0.041968,-0.189832,-12.81,13.16,-7.49,Noise,Right
1732785798121,0.899384,-0.093696,-0.0976,-5.32,6.65,-4.76,Noise,Right
1732785798121,0.881328,-0.164456,-0.182024,15.47,-2.8,0.0,Noise,Right
1732785798121,0.096136,-0.133712,-0.318664,28.98,-11.13,3.15,Noise,Right
1732785798168,1.118008,0.003416,0.017568,-59.71,214.13,-23.1,Noise,Right
1732785798169,0.844728,0.368928,-0.33916,-40.04,-54.74,-53.27,Noise,Right
1732785798223,0.95404,-0.103456,-0.02684,-24.64,4.2,-20.44,Noise,Right
1732785798224,1.009184,-0.394792,0.034648,-21.0,-9.52,-37.03,Noise,Right
1732785798224,1.116544,-0.345016,-0.067344,-17.71,-26.6,-41.72,Noise,Right
1732785798276,0.962824,-0.074664,-0.098088,-29.96,-31.08,-54.46,Noise,Right
1732785798278,0.972096,0.094672,-0.233264,-22.47,-32.9,-50.26,Noise,Right
1732785798278,0.959408,0.174704,-0.256688,-43.33,-31.64,-40.11,Noise,Right
1732785798278,0.962824,0.218624,-0.226432,-33.32,-27.58,-29.05,Noise,Right
1732785798325,0.969656,0.223016,-0.19032,-7.98,-19.53,-20.79,Noise,Right
1732785798325,0.977464,0.193248,-0.267424,11.97,-17.57,-8.89,Noise,Right
1732785798367,0.971608,0.07076,-0.333304,28.21,-13.3,-0.98,Noise,Right
1732785798367,0.972584,0.039528,-0.332328,24.5,-9.66,1.4,Noise,Right
1732785798367,0.98332,-0.081496,-0.324032,16.8,-7.35,1.12,Noise,Right
1732785798425,0.988688,-0.126392,-0.263032,-8.75,-2.52,-7.98,Noise,Right
1732785798425,0.9882,0.111752,-0.155672,-5.25,-8.54,-12.04,Noise,Right
1732785798425,1.009672,0.12932,-0.199592,30.8,-9.59,-2.24,Noise,Right
1732785798477,1.138992,0.16104,-0.162504,36.33,-12.39,11.2,Noise,Right
1732785798478,1.34932,0.04392,-0.184464,44.8,-50.47,38.43,Noise,Right
1732785798479,1.49328,-0.055632,-0.22692,37.17,-92.26,10.08,Noise,Right
1732785798527,1.328824,0.06588,-0.155672,13.65,-63.91,-26.95,Noise,Right
1732785798528,1.15412,0.09516,-0.176656,6.3,-29.26,-45.57,Noise,Right
1732785798528,1.047248,0.101504,-0.186904,10.57,-23.45,-41.09,Noise,Right
1732785798585,0.889136,0.112728,-0.249368,11.06,-28.7,-39.41,Noise,Right
1732785798585,0.742248,0.18056,-0.223504,10.08,-21.21,-39.34,Noise,Right
1732785798585,0.640744,0.248392,-0.20252,28.49,-10.01,-30.8,Noise,Right
1732785798586,0.61,0.280112,-0.213256,51.1,0.63,-21.42,Noise,Right
1732785798649,0.599264,0.311344,-0.189344,80.22,-1.26,-8.33,Noise,Right
1732785798650,0.677832,0.19276,-0.255712,119.77,-13.02,-8.19,Noise,Right
1732785798651,0.680272,-0.079544,-0.347456,139.51,-21.77,-13.3,Noise,Right
1732785798681,0.684664,-0.296216,-0.421144,129.71,-15.54,-7.56,Noise,Right
1732785798681,0.785192,-0.22692,-0.27328,107.38,19.32,19.18,Noise,Right
1732785798734,0.789584,-0.341112,-0.399184,87.99,39.97,47.18,Noise,Right
1732785798734,0.88084,-0.368928,-0.355264,15.47,41.16,60.69,Noise,Right
1732785798734,1.063352,-0.308416,-0.29768,-3.92,29.05,50.4,Noise,Right
1732785798735,1.148264,-0.175192,-0.247416,-7.07,17.22,12.04,Noise,Right
1732785798791,1.092144,-0.11712,-0.294752,-1.47,10.36,-24.15,Noise,Right
1732785798791,0.996984,-0.091256,-0.318664,2.17,6.65,-34.65,Noise,Right
1732785798791,0.912072,-0.066368,-0.311832,2.59,-2.45,-13.3,Noise,Right
1732785798837,0.8296,-0.064416,-0.325496,5.25,-11.76,18.9,Noise,Right
1732785798837,0.795928,-0.08052,-0.31476,-2.03,1.26,40.6,Noise,Right
1732785798837,0.833992,-0.055144,-0.27328,-3.43,23.03,35.35,Noise,Right
1732785798884,1.170224,-0.049288,-0.18544,-1.75,34.65,-0.63,Noise,Right
1732785798884,1.042368,-0.22692,-0.316712,11.55,-50.54,-32.55,Noise,Right
1732785798939,0.938424,-0.028304,-0.262544,-11.41,-12.88,-56.21,Noise,Right
1732785798939,0.952576,-0.059048,-0.273768,-11.83,-19.81,-20.65,Noise,Right
1732785798939,1.026264,-0.01464,-0.27328,-2.31,-8.12,-6.44,Noise,Right
1732785798939,0.993568,-0.001464,-0.304512,-2.1,-3.22,-8.89,Noise,Right
1732785798992,0.96136,0.03416,-0.26596,4.2,-0.77,-5.32,Noise,Right
1732785798992,0.961848,0.038552,-0.274744,-0.21,-1.89,-1.82,Noise,Right
1732785798993,0.962336,0.018544,-0.270352,-4.13,-2.66,2.24,Noise,Right
1732785799044,0.970632,-0.00488,-0.278648,-3.08,-3.15,5.04,Noise,Right
1732785799045,0.964776,0.040992,-0.233264,7.7,-2.52,8.05,Noise,Right
1732785799045,0.991616,-0.032696,-0.27816,17.99,-0.28,10.01,Noise,Right
1732785799164,0.98088,-0.0732,-0.300608,17.29,2.59,9.52,Noise,Right
1732785799164,0.973072,-0.122,-0.327448,18.34,3.5,9.1,Noise,Right
1732785799164,0.964776,-0.108824,-0.313784,3.08,3.29,6.23,Noise,Right
1732785799164,0.948184,-0.023424,-0.218136,-4.34,4.2,3.57,Noise,Right
1732785799164,0.961848,-0.020984,-0.197152,12.81,3.43,4.41,Noise,Right
1732785799164,0.955016,-0.020496,-0.22936,29.68,1.68,6.86,Noise,Right
1732785799164,0.99064,-0.084912,-0.296704,22.12,5.67,5.67,Noise,Right
1732785799266,0.98576,-0.04148,-0.31476,12.04,7.42,9.8,Noise,Right
1732785799266,0.966728,-0.113704,-0.293288,5.88,9.1,10.15,Noise,Right
1732785799266,0.887184,-0.213744,-0.211792,0.91,10.43,3.43,Noise,Right
1732785799267,0.968192,-0.250344,-0.205936,-7.77,9.24,-9.03,Noise,Right
1732785799267,0.981856,-0.168848,-0.168848,-15.26,8.47,-17.92,Noise,Right
1732785799267,1.04188,-0.111264,-0.216184,-6.65,6.72,-17.71,Noise,Right
1732785799317,0.968192,-0.038064,-0.263032,0.21,6.37,-15.82,Noise,Right
1732785799318,0.974048,0.010736,-0.257176,2.59,6.51,-13.65,Noise,Right
1732785799318,0.940864,0.07076,-0.22448,-0.35,6.44,-7.42,Noise,Right
1732785799374,0.977952,0.113704,-0.221552,4.97,7.49,0.91,Noise,Right
1732785799374,0.973072,0.093696,-0.243512,11.27,8.68,10.22,Noise,Right
1732785799374,0.975024,0.079056,-0.225456,14.77,11.34,18.83,Noise,Right
1732785799426,0.988688,0.035136,-0.227408,17.08,12.81,28.07,Noise,Right
1732785799426,0.983808,-0.125416,-0.24644,23.17,12.88,31.78,Noise,Right
1732785799426,0.975512,-0.302072,-0.238144,13.09,12.32,24.22,Noise,Right
1732785799473,0.931104,-0.306952,-0.111752,-0.91,11.55,11.97,Noise,Right
1732785799473,0.928664,-0.2562,-0.09028,-13.37,10.71,-0.21,Noise,Right
1732785799473,0.992592,-0.119072,-0.103944,-10.22,8.75,-6.51,Noise,Right
1732785799519,1.03212,-0.090768,-0.166408,2.8,7.42,-6.72,Noise,Right
1732785799519,1.062864,-0.154208,-0.147864,1.96,6.16,-6.16,Noise,Right
1732785799519,0.966728,-0.110776,-0.150792,3.43,3.71,-7.21,Noise,Right
1732785799573,1.011136,0.003416,-0.1342,-6.93,3.36,-3.99,Noise,Right
1732785799573,0.824232,0.03904,-0.192272,1.54,1.96,1.82,Noise,Right
1732785799573,0.330376,0.070272,-0.137616,9.66,10.57,5.32,Noise,Right
1732785799629,0.656848,0.011712,-0.247416,29.47,30.66,12.95,Noise,Right
1732785799629,1.775344,-0.200568,-0.562664,-54.67,-23.8,-8.82,Noise,Right
1732785799630,0.971608,-0.340624,-0.349408,-49.28,-4.83,-2.1,Noise,Right
1732785799675,1.020408,-0.13908,-0.225944,-18.69,0.42,-8.19,Noise,Right
1732785799676,0.978928,-0.124928,-0.125904,-23.59,-1.47,-12.04,Noise,Right
1732785799676,0.982832,-0.119072,-0.093696,-29.68,-3.85,-15.4,Noise,Right
1732785799719,0.998448,-0.017568,-0.119072,-25.41,-5.04,-8.82,Noise,Right
1732785799720,0.899384,-0.076128,-0.115656,-44.45,-24.43,-14.07,Noise,Right
1732785799720,1.182912,-0.400648,-0.093696,-14.84,-27.51,-11.34,Noise,Right
1732785799777,1.164856,-0.520208,0.002928,-25.41,-18.41,-34.93,Noise,Right
1732785799777,1.096536,-0.494344,-0.086376,-12.11,-29.54,-53.76,Noise,Right
1732785799777,1.658224,-0.49288,-0.018056,-43.68,-2.03,-44.31,Noise,Right
1732785799829,1.4762,-0.387472,0.071736,-103.6,-45.08,-20.09,Noise,Right
1732785799829,1.404464,-0.271328,0.033184,-69.51,-145.18,-22.4,Noise,Right
1732785799829,1.138016,-0.276696,-0.09028,-61.6,-217.28,-55.16,Noise,Right
1732785799877,0.913536,-0.14884,-0.066368,-66.43,-226.66,-121.59,Noise,Right
1732785799877,0.586088,0.065392,-0.064904,-60.48,-180.81,-199.22,Noise,Right
1732785799877,0.373808,0.09272,-0.266448,-37.52,-95.76,-249.27,Noise,Right
1732785799921,0.27816,0.033672,-0.431392,-20.09,-35.49,-285.39,Noise,Right
1732785799921,0.282552,-0.018056,-0.398696,-7.77,-10.5,-308.35,Noise,Right
1732785799968,0.366976,0.043432,-0.29036,-67.27,-29.26,-323.89,Noise,Right
1732785799969,0.323544,0.360632,-0.135664,-38.22,-114.73,-292.39,Noise,Right
1732785800018,0.316712,0.56852,-0.171288,46.41,-170.17,-228.62,Noise,Right
1732785800018,0.287432,0.66368,-0.337208,122.36,-214.13,-172.76,Noise,Right
1732785800018,0.288896,1.00772,-0.508496,138.46,-224.28,-116.48,Noise,Right
1732785800065,0.194712,0.916952,-0.934032,203.07,-171.22,-69.51,Noise,Right
1732785800065,0.360144,0.906704,-1.117032,100.38,-79.17,-45.57,Noise,Right
1732785800065,0.524112,0.868152,-1.194624,21.56,10.64,-54.6,Noise,Right
1732785800108,0.49288,0.719312,-1.289296,42.21,54.67,-72.38,Noise,Right
1732785800109,0.444568,0.652456,-1.132648,22.61,45.43,-89.53,Noise,Right
1732785800109,0.335256,0.69052,-0.761768,38.85,-13.93,-74.06,Noise,Right
1732785800168,0.335256,0.703696,-0.721264,89.18,-50.4,-32.55,Noise,Right
1732785800168,0.365512,0.589016,-0.670512,109.9,-87.08,8.33,Noise,Right
1732785800168,0.397232,0.567056,-0.664656,62.16,-105.35,34.65,Noise,Right
1732785800218,0.318176,0.51972,-0.783728,21.07,-94.5,48.44,Noise,Right
1732785800218,0.24644,0.532896,-0.867176,-25.97,-68.18,30.31,Noise,Right
1732785800218,0.19032,0.652456,-0.782264,-36.89,-30.87,2.24,Noise,Right
1732785800273,0.169336,0.654408,-0.798368,-32.34,-7.0,-31.92,Noise,Right
1732785800273,0.226432,0.640256,-0.745664,-19.04,5.39,-66.01,Noise,Right
1732785800273,0.25132,0.623664,-0.742248,-4.97,4.41,-83.51,Noise,Right
1732785800333,0.23668,0.593896,-0.7686,0.35,0.84,-67.83,Noise,Right
1732785800355,0.238144,0.581696,-0.790072,1.47,-4.41,-32.69,Noise,Right
1732785800361,0.260592,0.591456,-0.811056,-3.92,-8.26,4.69,Noise,Right
1732785800362,0.274256,0.565104,-0.830088,-0.28,-5.81,31.64,Noise,Right
1732785800377,0.347944,0.516304,-0.782264,0.56,2.94,40.39,Noise,Right
1732785800378,0.46848,0.486048,-0.75396,-6.65,9.52,25.55,Noise,Right
1732785800423,0.51728,0.447008,-0.742248,-5.46,7.98,0.14,Noise,Right
1732785800423,0.429928,0.459696,-0.736392,-5.32,-3.64,-24.08,Noise,Right
1732785800423,0.33184,0.5124,-0.756888,-5.67,-14.49,-34.58,Noise,Right
1732785800476,0.240584,0.554856,-0.757864,-1.47,-14.42,-27.09,Noise,Right
1732785800476,0.228872,0.582672,-0.744688,0.98,-6.37,-5.18,Noise,Right
1732785800477,0.286456,0.5734,-0.750056,-1.26,4.2,12.53,Noise,Right
1732785800533,0.326472,0.553392,-0.738832,-10.08,9.38,18.83,Noise,Right
1732785800533,0.338672,0.545584,-0.752984,-8.54,3.64,15.05,Noise,Right
1732785800533,0.305488,0.553392,-0.759328,-5.74,-4.13,6.72,Noise,Right
1732785800594,0.275232,0.581208,-0.77104,-1.82,-6.79,-0.14,Noise,Right
1732785800594,0.264496,0.601216,-0.766648,4.13,-0.84,-0.14,Noise,Right
1732785800594,0.294752,0.57584,-0.751032,3.78,9.38,1.68,Noise,Right
1732785800595,0.338184,0.556808,-0.751032,2.31,14.28,1.12,Noise,Right
1732785800638,0.363072,0.549976,-0.746152,0.98,14.07,1.89,Noise,Right
1732785800639,0.353312,0.540704,-0.747616,-3.71,9.03,6.44,Noise,Right
1732785800639,0.350384,0.565592,-0.72224,-3.78,2.94,13.86,Noise,Right
1732785800697,0.364048,0.569008,-0.722728,2.1,-2.73,16.87,Noise,Right
1732785800697,0.389912,0.540704,-0.741272,6.16,-4.2,13.02,Noise,Right
1732785800697,0.411872,0.543144,-0.731512,0.98,-2.24,2.38,Noise,Right
1732785800750,0.428952,0.548024,-0.74176,-0.7,0.28,-7.98,Noise,Right
1732785800750,0.401136,0.550952,-0.750056,-4.76,2.94,-14.35,Noise,Right
1732785800750,0.393328,0.56852,-0.732976,-4.41,3.5,-13.09,Noise,Right
1732785800797,0.388936,0.59048,-0.723216,-0.07,0.56,-7.49,Noise,Right
1732785800798,0.387472,0.579256,-0.732,3.15,-2.17,-1.75,Noise,Right
1732785800798,0.400648,0.570472,-0.731512,2.24,-3.99,1.47,Noise,Right
1732785800841,0.403088,0.565104,-0.732976,0.49,-6.02,2.03,Noise,Right
1732785800841,0.400648,0.569984,-0.732,-2.8,-9.17,-2.52,Noise,Right
1732785800842,0.371856,0.572424,-0.750056,-3.71,-12.95,-7.91,Noise,Right
1732785800887,0.36356,0.566568,-0.730536,-2.59,-13.37,-10.64,Noise,Right
1732785800887,0.355752,0.57828,-0.718824,0.14,-12.74,-11.62,Noise,Right
1732785800940,0.348432,0.566568,-0.7198,2.17,-12.74,-10.5,Noise,Right
1732785800940,0.321592,0.562664,-0.7198,3.85,-12.95,-6.72,Noise,Right
1732785800940,0.308416,0.564128,-0.72712,1.54,-11.55,-1.12,Noise,Right
1732785800982,0.311832,0.581696,-0.723704,-1.05,-7.7,5.46,Noise,Right
1732785800983,0.32452,0.593408,-0.740296,-3.78,-3.36,8.47,Noise,Right
1732785800984,0.345504,0.590968,-0.732,-4.69,-0.98,5.18,Noise,Right
1732785801028,0.360144,0.607072,-0.731024,-0.7,-0.28,-2.31,Noise,Right
1732785801028,0.360144,0.604144,-0.73688,3.57,-1.05,-7.21,Noise,Right
1732785801028,0.345504,0.5856,-0.742736,5.04,-0.56,-8.26,Noise,Right
1732785801086,0.360144,0.580232,-0.725656,4.55,0.14,-4.69,Noise,Right
1732785801086,0.38796,0.55388,-0.727608,1.26,-0.63,-0.14,Noise,Right
1732785801137,0.395768,0.57828,-0.717848,0.14,-4.13,2.94,Noise,Right
1732785801137,0.396256,0.589992,-0.713944,7.35,-9.73,4.62,Noise,Right
1732785801138,0.366,0.581696,-0.735904,12.74,-14.42,3.36,Noise,Right
1732785801138,0.393328,0.583648,-0.703208,23.52,-16.31,1.19,Noise,Right
1732785801193,0.399672,0.623176,-0.732976,42.07,-19.6,0.7,Noise,Right
1732785801193,0.411384,0.5734,-0.764696,64.89,-30.45,3.99,Noise,Right
1732785801193,0.393328,0.628544,-0.708088,77.63,-48.51,9.94,Noise,Right
1732785801245,0.35868,0.72468,-0.748592,118.86,-70.84,22.68,Noise,Right
1732785801245,0.3416,0.662704,-0.89792,169.19,-83.65,25.27,Noise,Right
1732785801245,0.352824,0.409432,-0.90768,193.69,-91.63,16.17,Noise,Right
1732785801312,0.347456,0.223016,-0.897432,151.06,-104.23,-7.35,Noise,Right
1732785801312,0.27084,0.123952,-0.908168,152.39,-117.81,-23.52,Noise,Right
1732785801313,0.345992,0.093208,-0.82716,161.49,-140.84,-37.24,Noise,Right
1732785801313,0.249368,0.211792,-0.786168,123.62,-172.55,-54.46,Noise,Right
1732785801356,0.167872,0.19764,-0.980392,114.1,-190.96,-66.5,Noise,Right
1732785801356,0.144448,-0.075152,-0.956968,93.03,-196.35,-85.33,Noise,Right
1732785801358,0.176656,-0.038064,-1.017968,-23.38,-204.12,-128.1,Noise,Right
1732785801412,0.215208,-0.062952,-1.218536,-159.04,-204.33,-164.71,Noise,Right
1732785801412,0.150304,0.52216,-0.974536,-227.92,-215.6,-169.89,Noise,Right
1732785801413,-0.008296,0.552904,-0.835944,-184.59,-244.79,-132.58,Noise,Right
1732785801519,-0.213256,0.671,-0.870592,-185.64,-272.51,-109.62,Noise,Right
1732785801525,-0.48556,0.799344,-0.839848,-47.18,-273.28,-79.17,Noise,Right
1732785801527,-0.740296,0.798368,-0.850584,6.86,-241.64,-29.33,Noise,Right
1732785801529,-0.77104,0.545096,-0.907192,8.89,-174.37,-4.69,Noise,Right
1732785801537,-0.68564,0.487024,-0.647576,13.44,-123.34,1.75,Noise,Right
1732785801538,-0.593896,0.325984,-0.616344,74.27,-97.72,6.79,Noise,Right
1732785801620,-0.465064,0.254248,-0.520696,87.99,-86.87,-0.56,Noise,Right
1732785801620,-0.611464,0.101016,-0.467992,80.57,-89.53,-4.41,Noise,Right
1732785801622,-0.611464,0.054656,-0.43676,86.8,-79.73,4.9,Noise,Right
1732785801622,-0.684664,0.0732,-0.4636,52.99,-54.25,20.3,Noise,Right
1732785801622,-0.689544,0.177632,-0.437736,38.29,-32.13,38.43,Noise,Right
1732785801622,-0.731512,0.226432,-0.487024,36.19,-23.94,42.0,Noise,Right
1732785801674,-0.760304,0.235216,-0.522648,40.04,-18.2,33.53,Noise,Right
1732785801674,-0.756888,0.216184,-0.574376,22.82,-8.19,18.83,Noise,Right
1732785801674,-0.772016,0.272792,-0.608536,5.74,6.02,9.31,Noise,Right
1732785801675,-0.76372,0.335744,-0.610488,8.05,15.47,17.92,Noise,Right
1732785801721,-0.723704,0.291336,-0.65636,13.86,15.96,36.96,Noise,Right
1732785801721,-0.648064,0.308416,-0.639768,17.64,10.99,50.26,Noise,Right
1732785801766,-0.60024,0.339648,-0.653432,16.45,4.2,45.43,Noise,Right
1732785801767,-0.593896,0.332328,-0.703696,15.19,2.38,30.45,Noise,Right
1732785801767,-0.63196,0.382592,-0.721752,1.54,5.25,11.9,Noise,Right
1732785801821,-0.646112,0.444568,-0.727608,-5.81,12.46,2.17,Noise,Right
1732785801823,-0.654408,0.406016,-0.738832,3.36,19.67,2.45,Noise,Right
1732785801823,-0.618784,0.365512,-0.72712,3.36,24.29,3.57,Noise,Right
1732785801877,-0.525576,0.36356,-0.709552,13.16,23.03,5.67,Noise,Right
1732785801877,-0.494344,0.257664,-0.720776,0.63,14.49,0.56,Noise,Right
1732785801877,-0.513864,0.313784,-0.71004,-12.32,6.93,-5.53,Noise,Right
1732785801877,-0.57828,0.313784,-0.725656,-15.19,1.4,-3.78,Noise,Right
1732785801924,-0.574376,0.351848,-0.712968,-8.26,1.47,0.91,Noise,Right
1732785801924,-0.562664,0.343064,-0.71492,-8.68,2.31,0.07,Noise,Right
1732785801970,-0.574864,0.344528,-0.729072,-8.12,5.39,-6.02,Noise,Right
1732785801970,-0.6222,0.405528,-0.71736,-8.33,11.9,-6.58,Noise,Right
1732785801970,-0.663192,0.423584,-0.708088,-2.1,20.44,3.78,Noise,Right
1732785802027,-0.694912,0.380152,-0.711504,3.71,31.64,16.94,Noise,Right
1732785802027,-0.645624,0.415776,-0.718336,5.32,44.24,28.91,Noise,Right
1732785802027,-0.592432,0.406504,-0.755424,16.38,52.43,38.99,Noise,Right
1732785802081,-0.571448,0.37088,-0.78568,27.86,59.15,47.6,Noise,Right
1732785802109,-0.445544,0.453352,-0.708088,40.53,68.6,62.23,Noise,Right
1732785802109,-0.40016,0.387472,-0.699792,69.65,62.58,72.59,Noise,Right
1732785802109,-0.345504,0.391376,-0.741272,120.75,49.98,65.59,Noise,Right
1732785802129,-0.342088,0.558272,-0.752008,185.08,37.8,62.23,Noise,Right
1732785802131,-0.45628,0.394792,-0.891576,232.54,28.98,58.59,Noise,Right
1732785802187,-0.510448,0.427,-0.910608,263.76,37.1,49.98,Noise,Right
1732785802188,-0.50264,0.444568,-0.820816,381.15,62.65,67.13,Noise,Right
1732785802188,-0.47336,0.098576,-0.973072,527.73,75.18,75.81,Noise,Right
